Timestamp,What is your 8 digit student id?,Which lecture section are you in?,1. Two metal balls are the same size but one weighs twice as much as the other. The balls are dropped from the roof of a single story building at the same instant of time. The time it takes the balls to reach the ground below will be,2. The two metal balls of the previous problem roll off a horizontal table with the same speed. In this situation:,3. A stone dropped from the roof of a single story building to the surface of the earth:,4. A large truck collides head-on with a small compact car.  During the collision:,5. Which of the forces listed below is (are) acting on the ball when it is within the frictionless channel at position q?,"6. Which path in the figure would the ball most closely follow after it exits the channel at ""r"" and moves across the frictionless table top ","7. A steel ball is attached to a string and is swung in a circular path in a horizontal plane as illustrated in the accompanying figure.  At the point P indicated in the figure, the string suddenly breaks near the ball. If these events are observed from directly above as in the figure, which path would the ball most closely follow after the string breaks?",8. Which of the paths below would the puck most closely follow after receiving the kick?,9. The speed of the puck just after it receives the kick is:,"10. Along the frictionless path you have chosen in question 8, the speed of the puck after receiving the kick: ","11. Along the frictionless path you have chosen in question 8, the main force(s) acting on the puck after receiving the kick is (are):",12. A ball is fired by a cannon from the top of a cliff as shown in the figure below.  Which of the paths would the cannon ball most closely follow?,"13. A boy throws a steel ball straight up.  Consider the motion of the ball only after it has left the boy's hand but before it touches the ground, and assume that forces exerted by the air are negligible. For these conditions, the force(s) acting on the ball is (are):","14. A bowling ball accidentally falls out of the cargo bay of an airliner as it flies along in a horizontal direction.	As observed by a person standing on the ground and viewing the plane as in the figure, which path would the bowling ball most closely follow after leaving the airplane? ","15. While the car, still pushing the truck, is speeding up to get up to cruising speed:",16. After the car reaches the constant cruising speed at which its driver wishes to push the truck:,"17. An elevator is being lifted up an elevator shaft at a constant speed by a steel cable as shown in the figure below. All frictional effects are negligible.  In this situation, forces on the elevator are such that:","18. The figure below shows a boy swinging on a rope, starting at a point higher than A. 	Consider the distinct forces in the figure.  Which of the forces is (are) acting on the boy when he is at position A?",19. The positions of two blocks at successive 0.20-second time intervals are represented by the numbered squares in the figure below.  The blocks are moving toward the right. Do the blocks ever have the same speed?,20. The positions of two blocks at successive 0.20-second time intervals are represented by the numbered squares in the figure below.  The blocks are moving toward the right. The accelerations of the blocks are related as follows:,"21. Which of the paths below best represents the path of the rocket between points ""b"" and ""c""?","22. As the rocket moves from position ""b"" to position ""c"" its speed is: ","23. At  point ""c""  the rocket's engine is turned off and the thrust immediately drops to zero.  Which of the paths below will the rocket follow beyond point ""c""?","24. Beyond position ""c"" the speed of the rocket is:","25. A woman exerts a constant horizontal force on a large box. As a result, the box moves across a horizontal floor at a constant speed “v_o”.  The constant horizontal force applied by the woman:","26. If the woman in the previous question doubles the constant horizontal force that she exerts on the box to push it on the same horizontal floor, the box then moves:","27. If the woman in question 25 suddenly stops applying a horizontal force to the block, then the block will:","28. In the figure, student ""a""  has a mass of 95 kg and student ""b"" has a mass of 77 kg.  They sit in identical office chairs facing each other.  	Student ""a"" places his bare feet on the knees of student ""b"", as shown. Student ""a"" then suddenly pushes outward with his feet, causing both chairs to move. During the push and while the students are still touching one another:",29. An empty office chair is at rest on a floor.  Consider the following forces:                               1.	A downward force of gravity.                         2.	An upward force exerted by the floor.             3.	A net downward force exerted by the air.	Which of the forces is (are) acting on the office chair?,"30. Despite a very strong wind, a tennis player manages to hit a tennis ball with her racquet so that the ball passes over the net and lands in her opponent's court.  	Consider the following forces:                                                                        1.	A downward force of gravity.                          2.	A force by the ""hit"".                                           3.	A force exerted by the air.	                        Which of the above forces is (are) acting on the tennis ball after it has left contact with the racquet and before it touches the ground?"
9/26/2018 13:12:19,14259150,M/W 1-1:50,C. about the same for both balls.,B. the heavier ball hits the floor at about half the horizontal distance from the base of the table than does the lighter ball.,C. speeds up because of an almost constant force of gravity acting upon it.,A. the truck exerts a greater amount of force on the car than the car exerts on the truck.,"D. 1, 2, and 3.",B,B,B,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",C. continuously decreases.,"C. a downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion",C,C. an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant downward force of gravity.,B,C. the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,C. the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,"D. 1, 2, and 3.","D. Yes, at instants 2 and 5.","C. The acceleration of ""b"" is greater than the acceleration of ""a"".",C,B. continuously increasing.,D,C. continuously decreasing.,D. is greater than the total force which resists the motion of the box.,A. with a constant speed that is double the speed “v_o” in the previous question.,C. immediately start slowing to a stop.,"D. each student exerts a force on the other, but ""a"" exerts the larger force.",B. 1 and 2.,"E. 1, 2, and 3."
9/26/2018 13:22:18,14238715,M/W 1-1:50,C. about the same for both balls.,A. both balls hit the floor at approximately the same horizontal distance from the base of the table.,C. speeds up because of an almost constant force of gravity acting upon it.,A. the truck exerts a greater amount of force on the car than the car exerts on the truck.,B. 1 and 2.,B,B,E,"A. equal to the speed ""v_o"" it had before it received the kick.",C. continuously decreases.,D. a downward force of gravity and an upward force exerted by the surface.,B,D. an almost constant downward force of gravity only.,D,C. the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,B. the upward force by the cable is equal to the downward force of gravity.,B. 1 and 2.,"E. Yes, at some time during the interval 3 to 4.","D. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are zero.",E,B. continuously increasing.,B,A. constant.,C. has the same magnitude as the total force which resists the motion of the box.,A. with a constant speed that is double the speed “v_o” in the previous question.,C. immediately start slowing to a stop.,E. each student exerts the same amount of force on the other.,B. 1 and 2.,"E. 1, 2, and 3."
9/26/2018 16:52:55,14221827,M/W 1-1:50,"E. considerably less for the lighter ball, but not necessarily half as long","E. the lighter ball hits the floor considerably closer to the base of the table than the heavier ball, but not necessarily at half the horizontal distance.",C. speeds up because of an almost constant force of gravity acting upon it.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,C. 1 and 3.,A,B,C,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",A. is constant.,D. a downward force of gravity and an upward force exerted by the surface.,B,D. an almost constant downward force of gravity only.,D,B. the amount of force with which the car pushes on the truck is smaller than that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,B. the upward force by the cable is equal to the downward force of gravity.,"E. 1, 3, and 4","D. Yes, at instants 2 and 5.","B. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are greater than zero.",E,B. continuously increasing.,B,A. constant.,B. is greater than the weight of the box.,"B. with a constant speed that is greater than the speed “v_o” in the previous question, but not necessarily twice as great.",A. immediately come to a stop.,"C. each student exerts a force on the other, but ""b"" exerts the larger force.",A. 1 only.,A. 1 only.
9/26/2018 18:39:40,14222814,M/W 1-1:50,C. about the same for both balls.,A. both balls hit the floor at approximately the same horizontal distance from the base of the table.,B. speeds up as it falls because the gravitational attraction gets considerably stronger as the stone gets closer to the earth.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,B. 1 and 2.,B,B,B,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",A. is constant.,"B. a downward force of gravity, and a horizontal force in the direction of motion.",B,D. an almost constant downward force of gravity only.,D,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,B. the upward force by the cable is equal to the downward force of gravity.,B. 1 and 2.,"E. Yes, at some time during the interval 3 to 4.","B. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are greater than zero.",E,B. continuously increasing.,B,A. constant.,C. has the same magnitude as the total force which resists the motion of the box.,E. with a continuously increasing speed.,C. immediately start slowing to a stop.,E. each student exerts the same amount of force on the other.,B. 1 and 2.,C. 1 and 3.
9/26/2018 19:31:39,14062907,M/W 1-1:50,C. about the same for both balls.,A. both balls hit the floor at approximately the same horizontal distance from the base of the table.,C. speeds up because of an almost constant force of gravity acting upon it.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,B. 1 and 2.,B,B,B,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",A. is constant.,D. a downward force of gravity and an upward force exerted by the surface.,B,D. an almost constant downward force of gravity only.,D,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,B. the upward force by the cable is equal to the downward force of gravity.,B. 1 and 2.,"E. Yes, at some time during the interval 3 to 4.",E. Not enough information is given to answer the question.,E,B. continuously increasing.,B,A. constant.,C. has the same magnitude as the total force which resists the motion of the box.,A. with a constant speed that is double the speed “v_o” in the previous question.,A. immediately come to a stop.,E. each student exerts the same amount of force on the other.,"D. 1,  2, and 3.","E. 1, 2, and 3."
9/27/2018 0:46:07,14316548,M/W 9-10:50,C. about the same for both balls.,A. both balls hit the floor at approximately the same horizontal distance from the base of the table.,C. speeds up because of an almost constant force of gravity acting upon it.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,"D. 1, 2, and 3.",B,B,B,"C. equal to the arithmetic sum of the speeds ""v_o"" and ""v_k"".",A. is constant.,"C. a downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion",B,B. a steadily decreasing upward force from the moment it leaves the boy’s hand until it reaches its highest point; on the way down there is a steadily increasing downward force of gravity as the object gets closer to the earth.,D,C. the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,"D. 1, 2, and 3.","E. Yes, at some time during the interval 3 to 4.","D. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are zero.",E,B. continuously increasing.,D,A. constant.,D. is greater than the total force which resists the motion of the box.,"B. with a constant speed that is greater than the speed “v_o” in the previous question, but not necessarily twice as great.",C. immediately start slowing to a stop.,E. each student exerts the same amount of force on the other.,B. 1 and 2.,"E. 1, 2, and 3."
9/27/2018 14:55:12,13893710,M/W 9-10:50,"D. considerably less for the heavier ball, but not necessarily half as long","D. the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily at half the horizontal distance.",C. speeds up because of an almost constant force of gravity acting upon it.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,"D. 1, 2, and 3.",A,A,A,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",E. is constant for a while and decreases thereafter.,"C. a downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion",C,C. an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant downward force of gravity.,A,C. the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,"D. 1, 2, and 3.","E. Yes, at some time during the interval 3 to 4.","D. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are zero.",B,A. constant,C,C. continuously decreasing.,D. is greater than the total force which resists the motion of the box.,"B. with a constant speed that is greater than the speed “v_o” in the previous question, but not necessarily twice as great.",C. immediately start slowing to a stop.,E. each student exerts the same amount of force on the other.,B. 1 and 2.,"E. 1, 2, and 3."
10/1/2018 0:36:59,14316976,M/W 9-10:50,C. about the same for both balls.,A. both balls hit the floor at approximately the same horizontal distance from the base of the table.,C. speeds up because of an almost constant force of gravity acting upon it.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,B. 1 and 2.,B,B,B,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",A. is constant.,D. a downward force of gravity and an upward force exerted by the surface.,B,D. an almost constant downward force of gravity only.,D,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,B. the upward force by the cable is equal to the downward force of gravity.,B. 1 and 2.,"E. Yes, at some time during the interval 3 to 4.","A. The acceleration of ""a"" is greater than the acceleration of ""b"".",E,B. continuously increasing.,B,A. constant.,C. has the same magnitude as the total force which resists the motion of the box.,E. with a continuously increasing speed.,C. immediately start slowing to a stop.,E. each student exerts the same amount of force on the other.,B. 1 and 2.,D. 2 and 3.
10/1/2018 9:20:49,14244953,M/W 1-1:50,A. about half as long for the heavier ball as the lighter one,A. both balls hit the floor at approximately the same horizontal distance from the base of the table.,C. speeds up because of an almost constant force of gravity acting upon it.,A. the truck exerts a greater amount of force on the car than the car exerts on the truck.,"D. 1, 2, and 3.",B,B,A,"A. equal to the speed ""v_o"" it had before it received the kick.",E. is constant for a while and decreases thereafter.,"C. a downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion",B,B. a steadily decreasing upward force from the moment it leaves the boy’s hand until it reaches its highest point; on the way down there is a steadily increasing downward force of gravity as the object gets closer to the earth.,D,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,"D. 1, 2, and 3.","E. Yes, at some time during the interval 3 to 4.","C. The acceleration of ""b"" is greater than the acceleration of ""a"".",D,B. continuously increasing.,C,A. constant.,B. is greater than the weight of the box.,"B. with a constant speed that is greater than the speed “v_o” in the previous question, but not necessarily twice as great.",D. continue at a constant speed.,E. each student exerts the same amount of force on the other.,B. 1 and 2.,"E. 1, 2, and 3."
10/1/2018 20:27:56,14242539,M/W 1-1:50,C. about the same for both balls.,A. both balls hit the floor at approximately the same horizontal distance from the base of the table.,D. falls because of the natural tendency of all objects to rest on the surface of the earth.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,C. 1 and 3.,B,C,B,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",E. is constant for a while and decreases thereafter.,A. a downward force of gravity.,B,C. an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant downward force of gravity.,A,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,B. 1 and 2.,"E. Yes, at some time during the interval 3 to 4.","D. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are zero.",D,B. continuously increasing.,B,A. constant.,C. has the same magnitude as the total force which resists the motion of the box.,A. with a constant speed that is double the speed “v_o” in the previous question.,C. immediately start slowing to a stop.,"D. each student exerts a force on the other, but ""a"" exerts the larger force.",C. 2 and 3.,"E. 1, 2, and 3."
12/3/2018 9:44:55,14310614,,C. about the same for both balls.,A. both balls hit the floor at approximately the same horizontal distance from the base of the table.,C. speeds up because of an almost constant force of gravity acting upon it.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,B. 1 and 2.,B,B,B,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",A. is constant.,D. a downward force of gravity and an upward force exerted by the surface.,C,D. an almost constant downward force of gravity only.,D,C. the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,B. the upward force by the cable is equal to the downward force of gravity.,B. 1 and 2.,"E. Yes, at some time during the interval 3 to 4.","D. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are zero.",E,B. continuously increasing.,B,A. constant.,C. has the same magnitude as the total force which resists the motion of the box.,E. with a continuously increasing speed.,C. immediately start slowing to a stop.,E. each student exerts the same amount of force on the other.,"D. 1,  2, and 3.",C. 1 and 3.
12/3/2018 9:45:06,13893710,,C. about the same for both balls.,"D. the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily at half the horizontal distance.",C. speeds up because of an almost constant force of gravity acting upon it.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,"E. 1, 3, and 4.",B,B,A,"B. equal to the speed ""v_k"" resulting from the kick and independent of the speed ""v_o"".",A. is constant.,"C. a downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion",C,B. a steadily decreasing upward force from the moment it leaves the boy’s hand until it reaches its highest point; on the way down there is a steadily increasing downward force of gravity as the object gets closer to the earth.,B,C. the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,"E. 1, 3, and 4","E. Yes, at some time during the interval 3 to 4.","D. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are zero.",B,D. increasing for a while and constant thereafter.,D,C. continuously decreasing.,E. is greater than either the weight of the box or the total force which resists its motion.,A. with a constant speed that is double the speed “v_o” in the previous question.,C. immediately start slowing to a stop.,E. each student exerts the same amount of force on the other.,B. 1 and 2.,"E. 1, 2, and 3."
12/3/2018 9:45:14,14290281,,C. about the same for both balls.,"D. the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily at half the horizontal distance.",C. speeds up because of an almost constant force of gravity acting upon it.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,B. 1 and 2.,A,B,B,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",A. is constant.,D. a downward force of gravity and an upward force exerted by the surface.,B,D. an almost constant downward force of gravity only.,D,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,B. 1 and 2.,"E. Yes, at some time during the interval 3 to 4.","D. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are zero.",A,B. continuously increasing.,B,A. constant.,C. has the same magnitude as the total force which resists the motion of the box.,E. with a continuously increasing speed.,C. immediately start slowing to a stop.,E. each student exerts the same amount of force on the other.,"D. 1,  2, and 3.",C. 1 and 3.
12/3/2018 9:45:43,14289599,,C. about the same for both balls.,A. both balls hit the floor at approximately the same horizontal distance from the base of the table.,A. reaches a maximum speed quite soon after release and then falls at a constant speed thereafter.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,,B,B,D,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",A. is constant.,D. a downward force of gravity and an upward force exerted by the surface.,B,D. an almost constant downward force of gravity only.,D,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,B. the upward force by the cable is equal to the downward force of gravity.,B. 1 and 2.,"E. Yes, at some time during the interval 3 to 4.","D. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are zero.",E,A. constant,D,A. constant.,C. has the same magnitude as the total force which resists the motion of the box.,E. with a continuously increasing speed.,C. immediately start slowing to a stop.,E. each student exerts the same amount of force on the other.,B. 1 and 2.,C. 1 and 3.
12/3/2018 9:45:46,14275254,,C. about the same for both balls.,A. both balls hit the floor at approximately the same horizontal distance from the base of the table.,C. speeds up because of an almost constant force of gravity acting upon it.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,A. 1 only.,B,B,B,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",A. is constant.,D. a downward force of gravity and an upward force exerted by the surface.,B,D. an almost constant downward force of gravity only.,D,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,B. 1 and 2.,"E. Yes, at some time during the interval 3 to 4.","D. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are zero.",E,B. continuously increasing.,B,A. constant.,D. is greater than the total force which resists the motion of the box.,E. with a continuously increasing speed.,C. immediately start slowing to a stop.,E. each student exerts the same amount of force on the other.,B. 1 and 2.,C. 1 and 3.
12/3/2018 9:45:49,14253081,,A. about half as long for the heavier ball as the lighter one,A. both balls hit the floor at approximately the same horizontal distance from the base of the table.,C. speeds up because of an almost constant force of gravity acting upon it.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,"D. 1, 2, and 3.",B,B,B,"B. equal to the speed ""v_k"" resulting from the kick and independent of the speed ""v_o"".",A. is constant.,"C. a downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion",C,C. an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant downward force of gravity.,A,C. the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,"E. 1, 3, and 4","E. Yes, at some time during the interval 3 to 4.","D. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are zero.",D,B. continuously increasing.,B,A. constant.,C. has the same magnitude as the total force which resists the motion of the box.,"D. for a while with an increasing speed, then with a constant speed thereafter.",C. immediately start slowing to a stop.,"D. each student exerts a force on the other, but ""a"" exerts the larger force.",B. 1 and 2.,B. 1 and 2.
12/3/2018 9:46:14,14241970,,C. about the same for both balls.,A. both balls hit the floor at approximately the same horizontal distance from the base of the table.,A. reaches a maximum speed quite soon after release and then falls at a constant speed thereafter.,"C. neither exerts a force on the other, the car gets smashed simply because it gets in the way of the truck.",B. 1 and 2.,B,B,B,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",,D. a downward force of gravity and an upward force exerted by the surface.,B,A. a downward force of gravity along with a steadily decreasing upward force.,A,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,C. the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,B. 1 and 2.,"E. Yes, at some time during the interval 3 to 4.","D. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are zero.",C,B. continuously increasing.,D,C. continuously decreasing.,D. is greater than the total force which resists the motion of the box.,"B. with a constant speed that is greater than the speed “v_o” in the previous question, but not necessarily twice as great.",C. immediately start slowing to a stop.,E. each student exerts the same amount of force on the other.,B. 1 and 2.,"E. 1, 2, and 3."
12/3/2018 9:46:26,14277720,,C. about the same for both balls.,"D. the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily at half the horizontal distance.",C. speeds up because of an almost constant force of gravity acting upon it.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,B. 1 and 2.,B,B,B,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",A. is constant.,A. a downward force of gravity.,C,D. an almost constant downward force of gravity only.,A,C. the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,B. 1 and 2.,"E. Yes, at some time during the interval 3 to 4.","D. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are zero.",C,A. constant,A,E. constant for a while and decreasing thereafter.,D. is greater than the total force which resists the motion of the box.,"B. with a constant speed that is greater than the speed “v_o” in the previous question, but not necessarily twice as great.",C. immediately start slowing to a stop.,"D. each student exerts a force on the other, but ""a"" exerts the larger force.",B. 1 and 2.,C. 1 and 3.
12/3/2018 9:46:46,14327465,,B. about half as long for the lighter ball as the heavier one.,"D. the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily at half the horizontal distance.",B. speeds up as it falls because the gravitational attraction gets considerably stronger as the stone gets closer to the earth.,A. the truck exerts a greater amount of force on the car than the car exerts on the truck.,B. 1 and 2.,A,B,E,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",A. is constant.,"C. a downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion",B,C. an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant downward force of gravity.,A,C. the amount of force with which the car pushes on the truck is greater than that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,"E. 1, 3, and 4","D. Yes, at instants 2 and 5.","D. The acceleration of ""a"" equals the acceleration of ""b"".  Both accelerations are zero.",D,A. constant,D,E. constant for a while and decreasing thereafter.,D. is greater than the total force which resists the motion of the box.,"C. for a while with a speed that is constant and greater than the speed “v_o” in the previous question, then with a speed that increases thereafter.",B. continue moving at a constant speed for a while and then slow to a stop.,E. each student exerts the same amount of force on the other.,"D. 1,  2, and 3.","E. 1, 2, and 3."
12/3/2018 9:46:54,14228699,,C. about the same for both balls.,"D. the heavier ball hits the floor considerably closer to the base of the table than the lighter ball, but not necessarily at half the horizontal distance.",C. speeds up because of an almost constant force of gravity acting upon it.,A. the truck exerts a greater amount of force on the car than the car exerts on the truck.,"D. 1, 2, and 3.",B,B,E,"B. equal to the speed ""v_k"" resulting from the kick and independent of the speed ""v_o"".",A. is constant.,"C. a downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion",B,C. an almost constant downward force of gravity along with an upward force that steadily decreases until the ball reaches its highest point; on the way down there is only a constant downward force of gravity.,D,B. the amount of force with which the car pushes on the truck is smaller than that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,"D. 1, 2, and 3.","D. Yes, at instants 2 and 5.","A. The acceleration of ""a"" is greater than the acceleration of ""b"".",E,B. continuously increasing.,D,A. constant.,A. has the same magnitude as the weight of the box.,"D. for a while with an increasing speed, then with a constant speed thereafter.",C. immediately start slowing to a stop.,"D. each student exerts a force on the other, but ""a"" exerts the larger force.",B. 1 and 2.,"E. 1, 2, and 3."
12/3/2018 9:47:12,14281252,,C. about the same for both balls.,B. the heavier ball hits the floor at about half the horizontal distance from the base of the table than does the lighter ball.,C. speeds up because of an almost constant force of gravity acting upon it.,E. the truck exerts the same amount of force on the car as the car exerts on the truck.,"E. 1, 3, and 4.",B,B,B,"E. greater than either of the speeds ""v_o"" or ""v_k"", but less than the arithmetic sum of these two speeds.",D. increases for a while and decreases thereafter.,"C. a downward force of gravity, an upward force exerted by the surface, and a horizontal force in the direction of motion",C,B. a steadily decreasing upward force from the moment it leaves the boy’s hand until it reaches its highest point; on the way down there is a steadily increasing downward force of gravity as the object gets closer to the earth.,A,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the amount of force with which the car pushes on the truck is equal to that with which the truck pushes back on the car.,A. the upward force by the cable is greater than the downward force of gravity.,B. 1 and 2.,"D. Yes, at instants 2 and 5.","C. The acceleration of ""b"" is greater than the acceleration of ""a"".",D,D. increasing for a while and constant thereafter.,E,A. constant.,D. is greater than the total force which resists the motion of the box.,A. with a constant speed that is double the speed “v_o” in the previous question.,B. continue moving at a constant speed for a while and then slow to a stop.,E. each student exerts the same amount of force on the other.,B. 1 and 2.,"E. 1, 2, and 3."
